depth (m),year (AD),age (BP),d18O (d18O)
541.81,-184480,186430,-39.99
542,-185360,187310,-38.57
542.18,-186200,188150,-38.13
542.75,-188860,190810,-40.36
542.82,-189180,191130,-41.37
543.18,-190860,192810,-40.41
543.6,-192810,194760,-40.81
543.8,-193740,195690,-39.56
544,-194680,196630,-39.85
544.14,-195330,197280,-38.82
544.2,-195610,197560,-39.16
544.58,-197380,199330,-40.7
544.78,-198310,200260,-38.81
545,-199330,201280,-40.72
545.2,-200260,202210,-40.66
545.38,-201100,203050,-40.9
545.6,-202130,204080,-39.07
545.8,-203060,205010,-37.62
546,-203990,205940,-38.47
546.2,-204920,206870,-39.5
546.39,-205810,207760,-40.38
546.6,-206780,208730,-39.13
546.8,-207710,209660,NA
547,-208650,210600,-40.96
547.2,-209580,211530,NA
550.22,-223640,225590,-39.41
550.4,-224480,226430,-39.12
550.58,-225320,227270,-39.55
550.83,-226480,228430,-39.61
550.99,-227230,229180,-39.64
551.2,-228210,230160,NA
