depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
NA,NA,NA,NA,NA,39.765,453130,1.19,39.865,454360,57.8,NA,NA,NA,NA,8.41,56807,21.7,26.4,2.3,4.1,NA,NA,NA,NA,7.98,3.5,0.26,6.21,-0.364,0.896,5.8,-1.53,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.865,454360,1.23,39.965,455580,56.7,NA,NA,NA,NA,8.42,56903,21.1,25.4,2.2,3.7,NA,NA,NA,NA,7.99,3.51,0.28,6.22,-0.377,0.916,5.81,-1.425,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.965,455580,1.11,40.065,456800,58,NA,NA,NA,NA,8.43,57000,20.8,25.9,2.1,3.9,NA,NA,NA,NA,8,3.46,0.26,6.23,-0.441,0.959,5.82,-1.33,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.065,456800,1.07,40.165,458000,58.9,NA,NA,NA,NA,8.44,57096,21.1,25.7,2.2,3.9,NA,NA,NA,NA,8.01,3.31,0.21,6.24,-0.291,0.977,5.83,-1.41,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.165,458000,1.11,40.265,459200,58.6,NA,NA,NA,NA,8.45,57193,20.9,25.6,2.1,3.8,NA,NA,NA,NA,8.02,3.49,0.25,6.25,-0.252,0.968,5.84,-1.48,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.265,459200,1.05,40.365,460400,55.6,NA,NA,NA,NA,8.46,57289,20.1,25.7,2,3.8,NA,NA,NA,NA,8.03,3.51,0.2,6.26,-0.339,0.974,5.85,-1.4,1.64,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.365,460400,1.05,40.46,461540,54,NA,NA,NA,NA,8.47,57386,21,25.5,2.2,3.8,NA,NA,NA,NA,8.04,3.41,0.15,6.27,-0.244,0.901,5.86,-1.46,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.46,NA,1.28,NA,NA,NA,NA,NA,NA,NA,8.48,57483,20.7,26.6,2.1,4.2,NA,NA,NA,NA,8.05,3.52,0.23,6.28,-0.413,0.964,5.87,-1.29,1.68,NA,NA,NA,NA
NA,NA,NA,NA,NA,40.56,NA,1.02,NA,NA,NA,NA,NA,NA,NA,8.49,57579,20,25.6,2,3.8,NA,NA,NA,NA,8.06,3.37,0.19,6.29,-0.298,0.98,5.88,-1.42,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,57676,21.1,26.5,2.2,4.1,NA,NA,NA,NA,8.07,3.4,0.17,6.3,-0.3,0.92,5.89,-1.45,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.51,57772,21.1,26,2.2,4,NA,NA,NA,NA,8.08,3.47,0.1,6.31,-0.319,0.964,5.9,-1.5,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,57869,20.5,26.3,2.1,4,NA,NA,NA,NA,8.09,3.41,0.14,6.32,-0.379,0.95,5.91,-1.425,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53,57965,20.8,25.3,2.1,3.7,NA,NA,NA,NA,8.1,3.44,0.15,6.33,-0.395,0.946,5.92,-1.53,1.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,58062,21.1,25.7,2.2,3.8,NA,NA,NA,NA,8.11,3.38,0.07,6.34,-0.122,1.004,5.93,-1.4,1.65,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,58158,22.2,25.7,2.4,3.8,NA,NA,NA,NA,8.12,3.3,0.17,6.35,-0.215,0.856,5.94,-1.64,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.56,58255,22.2,26,2.4,4,NA,NA,NA,NA,8.13,3.31,0.16,6.36,-0.352,0.869,5.95,-1.38,1.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57,58351,22.2,26,2.4,3.9,NA,NA,NA,NA,8.14,3.33,0.13,6.37,-0.259,0.967,5.96,-1.46,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58,58448,21.9,26,2.4,3.9,NA,NA,NA,NA,8.15,3.33,0.08,6.38,-0.334,0.908,5.97,-1.45,1.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,58544,21.3,25.8,2.2,3.9,NA,NA,NA,NA,8.16,3.28,0.07,6.39,-0.325,0.786,5.98,-1.36,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,58641,22.3,26.3,2.4,4.1,NA,NA,NA,NA,8.17,3.33,0.09,6.4,-0.274,0.962,5.99,-1.52,1.62,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61,58737,22.6,26.9,2.5,4.3,NA,NA,NA,NA,8.18,3.31,0.17,6.41,-0.378,0.85,6,-1.43,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,58834,21.9,24.9,2.3,3.6,NA,NA,NA,NA,8.19,3.5,0.13,6.42,-0.248,1.001,6.01,-1.48,1.71,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,58931,22.8,26,2.6,3.9,NA,NA,NA,NA,8.2,3.36,0.15,6.43,-0.327,0.961,6.02,-1.55,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,59027,22.2,25.9,2.4,3.9,NA,NA,NA,NA,8.21,3.19,0.18,6.44,-0.349,0.958,6.03,-1.38,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65,59124,21.6,26,2.3,3.9,NA,NA,NA,NA,8.22,3.33,0.17,6.45,-0.334,0.977,6.04,-1.49,1.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66,59220,22.3,25.7,2.4,3.8,NA,NA,NA,NA,8.23,3.39,0.14,6.46,-0.254,0.974,6.05,-1.52,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,59317,22.1,25.5,2.4,3.8,NA,NA,NA,NA,8.24,3.43,0.11,6.47,-0.147,0.943,6.06,-1.51,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68,59413,21.4,26,2.3,3.9,NA,NA,NA,NA,8.25,3.4,0.12,6.48,-0.08,0.944,6.07,-1.51,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,59510,21.3,25.7,2.2,3.8,NA,NA,NA,NA,8.26,3.5,0.17,6.49,-0.329,0.879,6.08,-1.58,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,59606,22.2,25.7,2.4,3.8,NA,NA,NA,NA,8.27,3.41,0.19,6.5,-0.443,0.825,6.09,-1.69,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71,59703,23.8,26.4,2.8,4.1,NA,NA,NA,NA,8.28,3.37,0.15,6.51,-0.162,1.023,6.1,-1.55,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72,59799,21.8,26.4,2.3,4.1,NA,NA,NA,NA,8.29,3.4,0.17,6.52,-0.226,0.997,6.11,-1.505,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,59896,22.3,25.4,2.4,3.7,NA,NA,NA,NA,8.3,3.39,0.1,6.53,-0.28,0.842,6.12,-1.55,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74,59992,21.5,26,2.3,3.9,NA,NA,NA,NA,8.31,3.41,0.13,6.54,-0.254,1.004,6.13,-1.48,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,60089,21.3,26.5,2.2,4.1,NA,NA,NA,NA,8.32,3.48,0.15,6.55,-0.108,1.104,6.14,-1.45,1.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76,60185,21.1,25.7,2.2,3.8,NA,NA,NA,NA,8.33,3.44,0.17,6.56,-0.051,1.082,6.15,-1.44,1.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.77,60282,21.6,26.4,2.3,4.1,NA,NA,NA,NA,8.34,3.5,0.14,6.57,-0.098,1.009,6.16,-1.48,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,60379,22.4,26.5,2.5,4.1,NA,NA,NA,NA,8.35,3.57,0.09,6.58,-0.286,1.049,6.17,-1.46,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,60475,23.2,25.9,2.7,3.9,NA,NA,NA,NA,8.36,3.45,0.07,6.59,-0.181,0.991,6.18,-1.49,1.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,60572,22,26.4,2.4,4.1,NA,NA,NA,NA,8.37,3.46,0.08,6.6,-0.152,0.995,6.19,-1.48,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,60668,22,25.9,2.4,3.9,NA,NA,NA,NA,8.38,3.55,0.08,6.61,-0.204,1.089,6.2,-1.31,1.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,60765,21.7,25.8,2.3,3.9,NA,NA,NA,NA,8.39,3.49,0.04,6.62,-0.265,0.91,6.21,-1.465,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,60861,23.3,26.1,2.7,4,NA,NA,NA,NA,8.4,3.46,0.09,6.63,-0.161,0.971,6.22,-1.46,1.6,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.84,60958,21.8,25.8,2.3,3.9,NA,NA,NA,NA,8.41,3.47,0.11,6.64,-0.178,0.967,6.23,-1.47,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,61054,22.6,25.2,2.5,3.7,NA,NA,NA,NA,8.42,3.53,0.04,6.65,-0.355,0.916,6.24,-1.6,1.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86,61151,21.3,25.3,2.2,3.7,NA,NA,NA,NA,8.43,3.54,0.07,6.66,-0.066,1.09,6.25,-1.58,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,61247,21.4,25.1,2.3,3.6,NA,NA,NA,NA,8.44,3.54,0,6.67,-0.377,0.915,6.26,-1.61,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,61344,21.8,25.9,2.3,3.9,NA,NA,NA,NA,8.45,3.5,0.07,6.68,-0.231,1.088,6.27,-1.48,1.41,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,61440,21.4,25.1,2.3,3.6,NA,NA,NA,NA,8.46,3.47,0.03,6.69,0.013,0.885,6.28,-1.56,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,61537,22.1,25.4,2.4,3.7,NA,NA,NA,NA,8.47,3.59,0.06,6.7,-0.215,1.102,6.29,-1.46,1.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91,61633,22.2,25.6,2.4,3.8,NA,NA,NA,NA,8.48,3.49,0.05,6.71,-0.376,0.846,6.3,-1.53,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.92,61730,22.1,25.5,2.4,3.8,NA,NA,NA,NA,8.49,3.35,0.08,6.72,-0.355,1.011,6.31,-1.605,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93,61827,22.2,25.3,2.4,3.7,NA,NA,NA,NA,8.5,3.49,0.04,6.73,-0.319,0.904,6.32,-1.55,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94,61923,22.4,25.2,2.5,3.7,NA,NA,NA,NA,8.51,3.38,0.07,6.74,-0.169,1.1,6.33,-1.69,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95,62020,20.9,25.1,2.1,3.6,NA,NA,NA,NA,8.52,3.39,0.03,6.75,-0.372,0.735,6.34,-1.47,1.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53,3.39,0.1,6.76,-0.341,0.973,6.35,-1.63,1.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,3.4,-0.03,6.77,-0.276,0.984,6.36,-1.56,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,3.39,0.03,6.78,-0.267,0.905,6.37,-1.66,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.56,3.39,0.06,6.79,-0.215,1.078,6.38,-1.58,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57,3.43,-0.01,6.8,-0.399,1.019,6.39,-1.7,1.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58,3.35,0.03,6.81,-0.391,1.068,6.4,-1.83,1.36,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,3.32,0.01,6.82,-0.251,1.076,6.41,-1.585,1.34,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,3.34,0.04,6.83,-0.374,0.998,6.42,-1.56,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61,3.23,0.08,6.84,-0.142,1.108,6.43,-1.56,1.41,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,3.33,0.11,6.85,-0.26,1.042,6.44,-1.47,1.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,3.38,0.06,6.86,-0.377,0.95,6.45,-1.69,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,3.29,0.1,6.87,-0.309,0.96,6.46,-1.56,1.18,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65,3.29,0.06,6.88,-0.378,0.921,6.47,-1.45,1.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66,3.3,0.05,6.89,-0.457,1.001,6.48,-1.41,1.28,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,3.36,0.03,6.9,-0.193,0.956,6.49,-1.38,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68,3.3,0.16,6.91,-0.112,0.91,6.5,-1.26,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,3.3,0.12,6.92,-0.486,0.999,6.51,-1.41,1.34,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,3.27,0.05,6.93,-0.266,0.995,6.52,-1.49,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71,3.26,0.07,6.95,-0.482,0.923,6.53,-1.34,1.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72,3.25,0.03,6.96,-0.322,0.981,6.54,-1.32,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,3.42,0.12,6.97,-0.406,1.047,6.55,-1.27,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74,3.34,0.03,6.98,-0.229,1.023,6.56,-1.37,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,3.27,0.06,6.99,-0.362,0.961,6.57,-1.25,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76,3.35,0.06,7,-0.151,1.029,6.58,-1.36,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.77,3.35,0.11,7.01,-0.264,0.938,6.59,-1.55,1.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,3.51,0.09,7.02,-0.416,0.997,6.6,-1.4,1.6,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,3.47,0.02,7.03,-0.413,0.982,6.61,-1.435,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,3.38,0.05,7.04,-0.278,1.056,6.62,-1.45,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,3.47,0.06,7.05,-0.339,1.04,6.63,-1.44,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,3.55,0.01,7.06,-0.174,0.929,6.64,-1.43,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,3.5,0.04,7.07,-0.234,1.035,6.65,-1.4,1.68,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.84,3.39,0.06,7.08,-0.168,1.004,6.66,-1.44,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,3.44,0.01,7.09,-0.288,0.978,6.67,-1.38,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86,3.49,0.03,7.1,-0.48,0.929,6.68,-1.51,1.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,3.48,0,7.11,-0.089,1.001,6.69,-1.57,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,3.5,-0.02,7.12,-0.454,1.018,6.7,-1.49,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,3.48,0.08,7.13,-0.33,0.965,6.71,-1.4,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,3.63,0.02,7.14,-0.444,0.888,6.72,-1.42,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91,3.49,0.04,7.15,-0.518,0.889,6.73,-1.48,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.92,3.5,0.04,7.16,-0.401,0.918,6.74,-1.49,1.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93,3.57,-0.01,7.17,-0.289,0.975,6.75,-1.42,1.63,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94,3.66,0,7.18,-0.359,1.003,6.76,-1.51,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95,3.74,0.03,7.19,-0.465,0.978,6.77,-1.4,1.52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,3.71,-0.1,7.2,-0.358,0.973,6.78,-1.5,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,3.55,-0.03,7.21,-0.154,0.839,6.79,-1.43,1.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21,3.55,0.05,7.22,-0.369,0.922,6.8,-1.46,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31,3.57,0.04,7.23,-0.347,0.938,6.81,-1.63,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.41,3.71,0,7.24,-0.444,1,6.82,-1.5,1.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,3.64,0.13,7.25,-0.42,0.867,6.83,-1.48,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.61,3.48,-0.01,7.26,-0.518,0.882,6.84,-1.31,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71,3.52,0.16,7.27,-0.509,0.919,6.85,-1.35,1.61,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.81,3.43,0.19,7.28,-0.545,0.942,6.86,-1.51,1.6,NA,NA,NA,NA
